rpKey,Agnc,CarRail_DO,CarRail_PT,CarRail_check,CarRail_time,ComBus_DO,ComBus_PT,ComBus_check,ComBus_time,Fnl_Cmmnt,Fstp_grnt,TrBus_DO,TrBus_PT,TrBus_check,TrBus_time,Yr,address,agentype,busRT_DO,busRT_PT,busRT_check,busRT_time,cap_res_fund,city,cng_do_CB,cng_do_RB,cng_do_demand,cng_do_fixed,cng_do_route,cng_nar,cng_pt_CB,cng_pt_RB,cng_pt_demand,cng_pt_fixed,cng_pt_route,comrail_DO,comrail_PT,comrail_check,comrail_time,cont_res,debt_ser_fund,dec_res,dem_DO,dem_PT,dem_Tax,dem_check,dem_time,deprec,dev_DO,dev_PT,dev_check,dev_time,dfc_do_CB,dfc_do_RB,dfc_do_demand,dfc_do_fixed,dfc_do_route,dfc_do_van,dfc_nar,dfc_pt_CB,dfc_pt_DT,dfc_pt_RB,dfc_pt_com,dfc_pt_demand,dfc_pt_ferry,dfc_pt_fixed,dfc_pt_route,elc_do_SR,elc_do_TB,elc_do_fixed,elc_do_light,elc_nar,elc_pt_SR,elc_pt_TB,elc_pt_fixed,elc_pt_light,execname,exectitle,fed_other_grnt,ferry_DO,ferry_PT,ferry_check,ferry_time,fix_DO,fix_PT,fix_check,fix_time,fta_5307_grnt,fta_5307_op,fta_5307_prv,fta_5309_grnt,fta_5310_grnt,fta_5311_grnt,fta_5311_op,fta_5316_grnt,fta_5316_op,fta_cg_other_spec,fta_op_other_spec,fta_other_op,fte_do_CB,fte_do_RB,fte_do_SR,fte_do_TB,fte_do_demand,fte_do_fixed,fte_do_light,fte_do_route,fte_do_van,fte_nar,fte_pt_CB,fte_pt_DT,fte_pt_RB,fte_pt_SR,fte_pt_TB,fte_pt_com,fte_pt_demand,fte_pt_ferry,fte_pt_fixed,fte_pt_light,fte_pt_route,gen_fund,gfc_do_CB,gfc_do_RB,gfc_do_demand,gfc_do_fixed,gfc_do_route,gfc_do_van,gfc_nar,gfc_pt_CB,gfc_pt_DT,gfc_pt_RB,gfc_pt_demand,gfc_pt_fixed,gfc_pt_route,inc_res,insur_fund,interest,lightrail_DO,lightrail_PT,lightrail_check,lightrail_time,local_cap_invest,mvet,oex_do_CB,oex_do_RB,oex_do_SR,oex_do_TB,oex_do_demand,oex_do_fixed,oex_do_light,oex_do_route,oex_do_van,oex_nar,oex_pt_CB,oex_pt_DT,oex_pt_RB,oex_pt_SR,oex_pt_TB,oex_pt_com,oex_pt_demand,oex_pt_ferry,oex_pt_fixed,oex_pt_light,oex_pt_route,oper_res,other_ad,other_bal_expl,other_bal_spec,other_balace,other_expend,other_gain,other_int,other_rev,other_rev_spec,phone,principal,psgr_do_CB,psgr_do_RB,psgr_do_SR,psgr_do_TB,psgr_do_demand,psgr_do_fixed,psgr_do_light,psgr_do_route,psgr_do_van,psgr_nar,psgr_pt_CB,psgr_pt_DT,psgr_pt_RB,psgr_pt_SR,psgr_pt_TB,psgr_pt_com,psgr_pt_demand,psgr_pt_ferry,psgr_pt_fixed,psgr_pt_light,psgr_pt_route,rev_do_CB,rev_do_RB,rev_do_SR,rev_do_TB,rev_do_demand,rev_do_fixed,rev_do_light,rev_do_route,rev_do_van,rev_nar,rev_pt_CB,rev_pt_DT,rev_pt_RB,rev_pt_SR,rev_pt_TB,rev_pt_com,rev_pt_demand,rev_pt_ferry,rev_pt_fixed,rev_pt_light,rev_pt_route,rvh_do_CB,rvh_do_RB,rvh_do_SR,rvh_do_TB,rvh_do_demand,rvh_do_fixed,rvh_do_light,rvh_do_route,rvh_do_van,rvh_nar,rvh_pt_CB,rvh_pt_DT,rvh_pt_RB,rvh_pt_SR,rvh_pt_TB,rvh_pt_com,rvh_pt_demand,rvh_pt_ferry,rvh_pt_fixed,rvh_pt_light,rvh_pt_route,rvm_do_CB,rvm_do_RB,rvm_do_SR,rvm_do_TB,rvm_do_demand,rvm_do_fixed,rvm_do_light,rvm_do_route,rvm_do_van,rvm_nar,rvm_pt_CB,rvm_pt_DT,rvm_pt_RB,rvm_pt_SR,rvm_pt_TB,rvm_pt_com,rvm_pt_demand,rvm_pt_ferry,rvm_pt_fixed,rvm_pt_light,rvm_pt_route,sales_tax,st_cg_other,st_cg_other_spec,st_cg_regmg,st_cg_rmg,st_cg_sng,st_cg_ste,st_ct_van,st_op_other,st_op_other_spec,st_op_regmg,st_op_rmg,st_op_sng,st_op_ste,st_op_stod,state,sysname,systype,techemail,techname,techphone,tvh_do_CB,tvh_do_RB,tvh_do_SR,tvh_do_TB,tvh_do_demand,tvh_do_fixed,tvh_do_light,tvh_do_route,tvh_do_van,tvh_nar,tvh_pt_CB,tvh_pt_DT,tvh_pt_RB,tvh_pt_SR,tvh_pt_TB,tvh_pt_com,tvh_pt_demand,tvh_pt_ferry,tvh_pt_fixed,tvh_pt_light,tvh_pt_route,tvm_do_CB,tvm_do_RB,tvm_do_SR,tvm_do_TB,tvm_do_demand,tvm_do_fixed,tvm_do_light,tvm_do_route,tvm_do_van,tvm_nar,tvm_pt_CB,tvm_pt_DT,tvm_pt_RB,tvm_pt_SR,tvm_pt_TB,tvm_pt_com,tvm_pt_demand,tvm_pt_ferry,tvm_pt_fixed,tvm_pt_light,tvm_pt_route,unrest_cash,utility_tax,van_DO,van_PT,van_check,van_time,web,work_cap,zip
712EAF47-0B2A-4BF3-8DBD-26F5822380AC,asotin,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842858.0,,,,,,,,,,,,,,,,,,,,,28148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C66E5C3-CA2C-4EAD-9208-7CB156835995,ben franklin,,,,,,,,,"Clarification of Kilowatts used:  In May of 2013, BFT began testing and use of its first, all electric bus.",,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3388275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15160631,,,,,,,,
3A150D59-7297-415D-896A-A9FF65F94E70,clallam,,,,,,,,,,,,,,,2013,,,,,,,491000,,,,,,,,,,,,,,,,,,,,,,,,,1292792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,665718.0,,,,,,,,,,,,,,,,,,,,,,,1600000.0,,,Employee Leave and Post-Employment Health Care Benefits Reserve Fund,476883,"Total Operating Expenses net of Depreciation, not captured on this page	7768903	Total Operating expenses not captured on this page	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722537.0,
4783FB9B-21C7-4735-9F55-3F7690424EF6,Cowlitz Indian Tribe,,,,,,,,,None,,,,,,2013,,,,,,,0,,,,,,,,,,,,,,,,,0.0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,"Reserve A Ride Transportation $13,476.50",,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0,
5A1EBA13-0F2F-46E4-A92D-5C284AA17CF2,columbia,,,,,,,,,THE SOCIAL SECURITY REFUND/PRIOR PERIOD ADJUSTMENT INCLUDED MONEY REIMBURSING OUR AGENCY FOR YEARS 2008-2011 WHERE SOCIAL SECURITY WAS UNAUTHORIZED TO BE WITHHELD.  a PORTION OF IT REIMBURSED THE EMPLOYEES THE SHARE THEY PAID IN FOR THOSE SAME YEARS.  IN SPEAKING WITH TOM HANSON AND DAVID CHENAUR THEY DID SOME RESEARCH AND STATED THAT WE HAD OVER-MATCHED DURING THOSE YEARS AND DID NOT NEED TO MAKE ANY ADJUSTMENTS ON THE PRIOR GRANTS.,,,,,,2013,,,,,,,200964,,,,,,,,,,,,,,,,,0.0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569736.0,,,,,,,,,,,,,,,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,40588.0,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,377756.0,
33138B49-570D-40E9-956C-EE90BA4ACF90,community,,,,,,,,,,,,,,,2013,,,,,,,55734357,,,,,,,,,,,,,,,,,,11250100,,,,,,,15573477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35764418.0,,,,,,,,,,,,,,,2917221.0,121103,,,,,7441085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leases and Rental expense	319,545		/Capitalized Wages and Benefits	1,065,776		/Other reconciling items	294,873	Sound Transit Park and Ride maintenance $133,155 and $161,716 Other reconciling items	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B9A5D7C-FF79-4059-9C5E-DF5521D08EDA,ctran,,,,,,,,,2013 is the first year that C-TRAN will report Commuter Bus data. ,,,,,,2013,,,,,,,33348909,,,,,,,,,,,,,,,,,,,,,,,,,6006119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3031019.0,,,,,,450881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8330921,,,,,,,11457000.0,
C6EE22FC-2C6D-4AD1-8957-5632CCB7BB20,CUBS,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3661375,,,,,,,,
248E2529-DAAB-4CDA-9536-9F4B3C7106D2,everett,,,,,,,,,,,,,,,2013,,,,,,,523871,,,,,,,,,,,,,,,,,0.0,0,,,,,,,3362126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0,,,,,2795213.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,"By interlocal agreement, Everett Transit contributes to the SWIFT BRT service provided by Community Transit within the City of Everett service area.  In 2013, the share of $1,356,040 is netted against total sales and use tax revenue of $16,380,028 for a resulting tax revenue of $15,023,988 at the request of the NTD analyst.  That revenue is presented net in this submission to agree with the NTD report for 2013.",,0,"Leases and rentals	203093	Everett Transit leases a satellite base from the Everett School District	/Smart Card system	6254	Everett Transit is a member of ORCA and contributes a pro-rata share for enhancements to the system.	/Unrealized losses on investments	359139	Unrealized loss on face value of investments at December 31, 2013	/Contribution to City Street fund	400000	Everett Transit contributed to a City project that included street improvements along service routes.	",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6306871,,,,,,,0.0,
BC5E82BA-D606-433D-8463-E55DA0D31150,garfield,,,,,,,,,,,,,,,2013,,,,,,,25000,,,,,,,,,,,,,,,,,0.0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21141.0,,,,,,,,,,,,,,,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0,
