,Status,County Name,Jurisdiction,CTR Identification Code,Organization Name,Worksite Name,Survey_Cycle,Survey Close Date,Survey Iteration,Key,Survey Purpose,Expansion Factor,Sampling Worksite? ,Response Rate,Total Employees,Expanded Surveys Distributed,Expanded Surveys Returned,"VMT/
Employee",Goal VMT,Total VMT,Total Goal VMT,NDAT Rate,Goal NDAT Rate (Worksite only),Total Goal NDAT Trips,Total Annual Greenhouse Gas Emissions -  All Employees (Metric Tons CO2e),Daily Roundtrip GHG Per Employee (Pounds),GHGforAgg (Pounds),Total Weekly Trips,Weekly Drive Alone Trips,Weekly Carpool Trips,Weekly Vanpool Trips,Weekly 1-Motorcycle Trips,Weekly 2-Motorcycle Trips,Weekly Bus Trips,Weekly Train/Lightrail/Street Car Trips,Weekly Bike Trips,Weekly Walk Trips,Weekly Telework Trips,Weekly CWW Days,Weekly Overnight Business Trip,Weekly Did Not Work,Weekly Used Ferry as Walk-on Passenager,Weekly Boarded Ferry with Car/Bus/Van,Weekly Other Trips,Alone Share,Carpool Share,Van Share,Motorcycle Share,Bus Share,Train Share,Bike Share,Walk Share,Tele Share,CWW Share,Used Ferry Share,Boarded Ferry Share,Other Share,Baseline,Error: Difference between Weekly Trips and Summed Weekly Trips:this column is the difference,sumcolumn,calculated percent,summedcol
0,Affected,Thurston,City of Olympia,E10017,WA State Senate,Washington State Senate,2017/2018,2017-08-11 00:00:00,M6,E10017M6,CTR,1,,60,170,170,102,12.5,0,1275,0,0.19,0,0,443.5,24.4947840994572,2498.46797814463,479.0,382.0,24.0,0.0,5.0,1.0,9.0,0.0,9.0,27.0,12.0,9.0,1,14,0.0,0.0,1.0,0.8,0.05,0.0,0.01,0.02,0.0,0.02,0.06,0.03,0.02,0.0,0.0,0.0,,,1.0,0.0,
1,Affected,Thurston,City of Olympia,E10025,Office of Superintendent of Public Instruction,Office of Superintendent of Public Instruction,2017/2018,2017-05-25 00:00:00,M6,E10025M6,CTR,1,,70.25,400,400,281,11.8,0,3315.8,0,0.31,0,0,985.2,23.1010738708533,6491.40175770978,1321.0,910.0,133.0,17.0,3.0,0.0,104.0,0.0,25.0,47.0,62.0,7.0,26,39,0.0,0.0,13.0,0.69,0.1,0.01,0.0,0.08,0.0,0.02,0.04,0.05,0.01,0.0,0.0,0.01,,,0.99,0.01,
2,Affected,Thurston,City of Olympia,E10066,WA State Dept. of Transportation,WSDOT - Olympia Service Center,2017/2018,2017-05-29 00:00:00,M6,E10066M6,CTR,1,,77.6255707762557,657,657,510,12.1,0,6171,0,0.3,0,0,1684,23.7097071372098,12091.950639977,2431.0,1696.0,211.0,30.0,6.0,0.0,118.0,12.0,73.0,85.0,116.0,73.0,9,76,1.0,5.0,5.0,0.7,0.09,0.01,0.0,0.05,0.0,0.03,0.03,0.05,0.03,0.0,0.0,0.0,,,1.0,0.0,
3,Affected,Thurston,City of Olympia,E10082,WA State Employees Credit Union,Employees Credit Union,2017/2018,2017-05-04 00:00:00,M6,E10082M6,CTR,1,,93.3333333333333,325,210,196,11.8,0,2312.8,0,0.17,0,0,844.7,23.0848267223872,4524.62603758788,973.0,806.0,57.0,12.0,4.0,0.0,17.0,0.0,7.0,30.0,35.0,4.0,1,16,0.0,0.0,1.0,0.83,0.06,0.01,0.0,0.02,0.0,0.01,0.03,0.04,0.0,0.0,0.0,0.0,,,1.0,0.0,
4,Affected,Thurston,City of Olympia,E10132,WA State Dept. of Agriculture,Dept. of Agriculture,2017/2018,2017-05-21 00:00:00,M6,E10132M6,CTR,1,,83.5,200,200,167,11.1,0,1853.7,0,0.27,0,0,464.3,21.7483777572293,3631.97908545729,786.0,572.0,42.0,9.0,4.0,0.0,37.0,4.0,18.0,48.0,43.0,8.0,22,29,0.0,0.0,1.0,0.73,0.05,0.01,0.01,0.05,0.01,0.02,0.06,0.05,0.01,0.0,0.0,0.0,,,1.0,0.0,
5,Affected,Thurston,City of Olympia,E10140,WA State Liquor and Cannabis Board,WA State Liquor and Cannabis Board,2017/2018,2017-06-09 00:00:00,M6,E10140M6,CTR,1,,61.0859728506787,221,221,135,14.1,0,1903.5,0,0.14,0,0,675.3,27.6005085813017,3726.06865847573,659.0,560.0,52.0,0.0,5.0,0.0,11.0,0.0,0.0,4.0,7.0,12.0,3,13,0.0,2.0,6.0,0.85,0.08,0.0,0.01,0.02,0.0,0.0,0.01,0.01,0.02,0.0,0.0,0.01,,,0.99,0.01,
6,Affected,Thurston,City of Olympia,E10157,WA State Office of Financial Management,Office of Financial Management,2017/2018,2017-07-14 00:00:00,M6,E10157M6,CTR,1,,76,100,100,76,10.2,0,775.2,0,0.26,0,0,217,19.9772726643077,1518.27272248738,364.0,270.0,28.0,0.0,0.0,0.0,10.0,0.0,14.0,16.0,22.0,4.0,5,8,0.0,0.0,0.0,0.74,0.08,0.0,0.0,0.03,0.0,0.04,0.04,0.06,0.01,0.0,0.0,0.0,,,1.0,0.0,
7,Affected,Thurston,City of Olympia,E10207,WA State Office of the Attorney General,Office of Attorney General,2017/2018,2017-06-09 00:00:00,M6,E10207M6,CTR,1,,78.5234899328859,149,149,117,11,0,1287,0,0.27,0,0,342.8,21.54036521612,2520.22273028605,551.0,400.0,37.0,18.0,1.0,0.0,15.0,2.0,2.0,38.0,29.0,6.0,0,29,0.0,0.0,3.0,0.73,0.07,0.03,0.0,0.03,0.0,0.0,0.07,0.05,0.01,0.0,0.0,0.01,,,0.99,0.01,
8,Affected,Thurston,City of Olympia,E10280,WA State Dept. of Licensing,Dept. of Licensing,2017/2018,2017-06-27 00:00:00,M6,E10280M6,CTR,1,,77.8067885117493,383,383,298,12.2,0,3635.6,0,0.28,0,0,1002.2,23.9098723331895,7125.14195529046,1438.0,1024.0,157.0,38.0,19.0,0.0,90.0,0.0,9.0,25.0,22.0,26.0,4,39,0.0,0.0,28.0,0.71,0.11,0.03,0.01,0.06,0.0,0.01,0.02,0.02,0.02,0.0,0.0,0.02,,,0.98,0.02,
9,Affected,Thurston,City of Olympia,E10306,WA State Dept. of Social and Health Services,DSHS - OFR & DCS,2017/2018,2017-05-26 00:00:00,M6,E10306M6,CTR,1,,61.3707165109034,324,321,197,16.7,0,3289.9,0,0.25,0,0,1155.9,32.7231991495057,6446.47023245261,947.0,710.0,81.0,3.0,0.0,0.0,19.0,1.0,10.0,18.0,70.0,19.0,13,32,0.0,0.0,16.0,0.75,0.09,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.02,0.0,0.0,0.02,,,0.98,0.02,
10,Affected,Thurston,City of Olympia,E10330,WA State House of Representatives,House of Representatives,2017/2018,2017-06-22 00:00:00,M6,E10330M6,CTR,1,,45.959595959596,198,198,91,12.5,0,1137.5,0,0.18,0,0,517.6,24.4499194269483,2224.94266785229,429.0,354.0,9.0,0.0,0.0,0.0,5.0,0.0,32.0,28.0,0.0,0.0,0,22,1.0,0.0,0.0,0.83,0.02,0.0,0.0,0.01,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
11,Affected,Thurston,City of Tumwater,E10454,WA State Dept. of Revenue,Dept. of Revenue,2017/2018,2017-06-27 00:00:00,M6,E10454M6,CTR,1,,80.1242236024845,161,161,129,13.9,0,1793.1,0,0.22,0,0,450.2,27.2345831605964,3513.26122771694,584.0,454.0,67.0,8.0,1.0,0.0,0.0,0.0,14.0,2.0,12.0,14.0,0,49,0.0,0.0,12.0,0.78,0.11,0.01,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.02,,,0.98,0.02,
12,Affected,Thurston,City of Olympia,E10513,WA State Dept. of Transportation,Olympic Region - Mottman Facility,2017/2018,2017-05-29 00:00:00,M6,E10513M6,CTR,1,,94.5945945945946,37,37,35,9.5,0,332.5,0,0.29,0,0,67.2,18.5619201798461,649.667206294613,151.0,107.0,11.0,0.0,0.0,0.0,9.0,0.0,7.0,4.0,8.0,5.0,3,2,0.0,0.0,0.0,0.71,0.07,0.0,0.0,0.06,0.0,0.05,0.03,0.05,0.03,0.0,0.0,0.0,,,1.0,0.0,
