AgencyYr,revenueindex,rpKey,Agnc,Yr,fta_5307_op,fta_5307_prv,fta_5311_op,fta_5316_op,fta_other_op,fta_op_other_spec,st_op_rmg,st_op_regmg,st_op_sng,st_op_ste,st_op_stod,st_op_other,st_op_other_spec,fta_5307_cg,fta_5309_cg,fta_5310_cg,fta_5311_cg,fta_5316_cg,Fstp_grnt_cg,fed_other_grnt_cg,fta_cg_other_spec,st_cg_rmg,st_cg_sng,st_cg_regmg,st_cg_ste,st_ct_van,st_cg_other,st_cg_other_spec,sales_tax,utility_tax,mvet,other_ad,other_int,other_gain,other_rev,other_rev_spec,dec_res,inc_res,Comments,expense_key,rpKey,Agnc,Yr,interest,principal,local_cap,deprec,Otra_exp_num,gen_fund,unrest_cash,oper_res,work_cap,cap_res_fund,cont_res,debt_ser_fund,insur_fund,other_balace,Comments,rpKey,Agnc,Yr,rvh_do_fixed,rvh_do_light,rvh_do_route,rvh_do_demand,rvh_do_van,rvh_do_CB,rvh_do_RB,rvh_do_SR,rvh_do_TB,rvh_pt_fixed,rvh_pt_ferry,rvh_pt_com,rvh_pt_light,rvh_pt_route,rvh_pt_demand,rvh_pt_CB,rvh_pt_RB,rvh_pt_DT,rvh_pt_SR,rvh_pt_TB,tvh_do_fixed,tvh_do_light,tvh_do_route,tvh_do_demand,tvh_do_van,tvh_do_CB,tvh_do_RB,tvh_do_SR,tvh_do_TB,tvh_pt_fixed,tvh_pt_ferry,tvh_pt_com,tvh_pt_light,tvh_pt_route,tvh_pt_demand,tvh_pt_CB,tvh_pt_RB,tvh_pt_DT,tvh_pt_SR,tvh_pt_TB,rvm_do_fixed,rvm_do_light,rvm_do_route,rvm_do_demand,rvm_do_van,rvm_do_CB,rvm_do_RB,rvm_do_SR,rvm_do_TB,rvm_pt_fixed,rvm_pt_ferry,rvm_pt_com,rvm_pt_light,rvm_pt_route,rvm_pt_demand,rvm_pt_CB,rvm_pt_RB,rvm_pt_DT,rvm_pt_SR,rvm_pt_TB,tvm_do_fixed,tvm_do_light,tvm_do_route,tvm_do_demand,tvm_do_van,tvm_do_CB,tvm_do_RB,tvm_do_SR,tvm_do_TB,tvm_pt_fixed,tvm_pt_ferry,tvm_pt_com,tvm_pt_light,tvm_pt_route,tvm_pt_demand,tvm_pt_CB,tvm_pt_RB,tvm_pt_DT,tvm_pt_SR,tvm_pt_TB,psgr_do_fixed,psgr_do_light,psgr_do_route,psgr_do_demand,psgr_do_van,psgr_do_CB,psgr_do_RB,psgr_do_SR,psgr_do_TB,psgr_pt_fixed,psgr_pt_ferry,psgr_pt_com,psgr_pt_light,psgr_pt_route,psgr_pt_demand,psgr_pt_CB,psgr_pt_RB,psgr_pt_DT,psgr_pt_SR,psgr_pt_TB,dfc_do_fixed,dfc_do_route,dfc_do_demand,dfc_do_van,dfc_do_CB,dfc_do_RB,dfc_pt_fixed,dfc_pt_ferry,dfc_pt_com,dfc_pt_route,dfc_pt_demand,dfc_pt_CB,dfc_pt_RB,dfc_pt_DT,pfc_do_fixed,pfc_do_route,pfc_do_demand,pfc_do_van,pfc_do_CB,pfc_do_RB,pfc_pt_fixed,pfc_pt_route,pfc_pt_demand,pfc_pt_CB,pfc_pt_RB,pfc_pt_DT,gfc_do_fixed,gfc_do_route,gfc_do_demand,gfc_do_van,gfc_do_CB,gfc_do_RB,gfc_pt_fixed,gfc_pt_route,gfc_pt_demand,gfc_pt_CB,gfc_pt_RB,gfc_pt_DT,elc_do_fixed,elc_do_light,elc_do_SR,elc_do_TB,elc_pt_fixed,elc_pt_light,elc_pt_SR,elc_pt_TB,cng_do_fixed,cng_do_route,cng_do_demand,cng_do_CB,cng_do_RB,cng_pt_fixed,cng_pt_route,cng_pt_demand,cng_pt_CB,cng_pt_RB,fte_do_fixed,fte_do_light,fte_do_route,fte_do_demand,fte_do_van,fte_do_CB,fte_do_RB,fte_do_SR,fte_do_TB,fte_pt_fixed,fte_pt_ferry,fte_pt_com,fte_pt_light,fte_pt_route,fte_pt_demand,fte_pt_CB,fte_pt_RB,fte_pt_DT,fte_pt_SR,fte_pt_TB,oex_do_fixed,oex_do_light,oex_do_route,oex_do_demand,oex_do_van,oex_do_CB,oex_do_RB,oex_do_SR,oex_do_TB,oex_pt_fixed,oex_pt_ferry,oex_pt_com,oex_pt_light,oex_pt_route,oex_pt_demand,oex_pt_CB,oex_pt_RB,oex_pt_DT,oex_pt_SR,oex_pt_TB,rev_do_fixed,rev_do_light,rev_do_route,rev_do_demand,rev_do_van,rev_do_CB,rev_do_RB,rev_do_SR,rev_do_TB,rev_pt_fixed,rev_pt_ferry,rev_pt_com,rev_pt_light,rev_pt_route,rev_pt_demand,rev_pt_CB,rev_pt_RB,rev_pt_DT,rev_pt_SR,rev_pt_TB,Comments
1,1,{ED56C6CD-0A7A-4C82-862F-742A3CACD6CD},asotin,2017,293735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53625,180504,Consolidated Grant Program,707524,0,0,0,556,2000,2500,0,0,0,,1,{ED56C6CD-0A7A-4C82-862F-742A3CACD6CD},asotin,2017,0,0,0,0,0,1533385,0,0,0,0,0,0,0,0,,{ED56C6CD-0A7A-4C82-862F-742A3CACD6CD},asotin,2017,10431,0,0,3489,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10935,0,0,4299,3749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163683,0,0,36587,103679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170750,0,0,38992,107473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68921,0,0,6818,19483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13642,0,5833,7822,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842423,0,0,249100,65647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30862,0,0,7087,64368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,2,{FA758141-CC0C-44E4-8ED5-7D39E3D2DC96},ben franklin,2017,0,0,0,0,0,0,0,0,2000000,0,0,0,0,1205136,0,0,0,0,0,200,Federal Section §5339 Capital Grants,0,0,0,0,1074125,0,0,34214086,0,0,181379,315945,373217,411142,"miscellaneous revenue which consist of ID badges, warranty rebates, etc",0,4767651,,6,{FA758141-CC0C-44E4-8ED5-7D39E3D2DC96},ben franklin,2017,0,0,1240078,3359650,350025,0,16105818,9675000,0,13802598,0,0,0,0,,{FA758141-CC0C-44E4-8ED5-7D39E3D2DC96},ben franklin,2017,140249,0,0,113960,70653,0,0,0,0,0,0,0,0,0,12834,0,0,23058,0,0,146892,0,0,140002,70653,0,0,0,0,0,0,0,0,0,16973,0,0,23058,0,0,2245140,0,0,1798041,3420782,0,0,0,0,0,0,0,0,0,222688,0,0,643643,0,0,2406332,0,0,2124566,3420782,0,0,0,0,0,0,0,0,0,287190,0,0,643643,0,0,2184099,0,0,293095,643216,0,0,0,0,0,0,0,0,0,73612,0,0,107920,0,0,474867,0,2269,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310857,240987,0,0,0.0,0,34876,0,0,0,20057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.0,0.0,0.0,105.8,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15423139,0,0,13201016,2574147,0,0,0,0,0,0,0,0,0,1365133,0,0,2062624,0,0,1483642,0,0,317092,1877932,0,0,0,0,0,0,0,0,0,33505,0,0,129090,0,0,
3,3,{FD4C4CF6-B7FE-4425-A99A-59BAC2ABF605},Central Transit,2017,0,0,0,0,0,Received no Federal funds,190080,0,359882,0,0,0,0,0,0,0,0,0,0,0,Received no Federal capital grants,0,0,0,0,0,0,Received no state capital grants,0,1147279,0,0,6180,0,75000,Funds from the Associated Students of Central Washington University to support Central Transit.,0,637831,,11,{FD4C4CF6-B7FE-4425-A99A-59BAC2ABF605},Central Transit,2017,0,0,0,0,0,874789,774718,103339,874789,0,0,0,0,0,,{FD4C4CF6-B7FE-4425-A99A-59BAC2ABF605},Central Transit,2017,0,0,0,0,0,0,0,0,0,11768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16986.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,583402,0,0,0,0,47606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,4,{0FD54980-150F-460D-96E7-1D5C162D271F},clallam,2017,0,0,739993,0,0,0,35872,0,10790,0,0,0,0,0,4931,0,560000,0,0,0,0,354228,140000,0,41309,24525,0,0,7617135,0,0,14565,52388,32196,94454,"Other Grants $   3,498Chr(13)(10)Charter Rev   $   5,650Chr(13)(10)Parking Rev   $ 22,608Chr(13)(10)Fuel Energy Rebates $53,295Chr(13)(10)Misc Fees  $9,403",0,1023110,,13,{0FD54980-150F-460D-96E7-1D5C162D271F},clallam,2017,0,0,132962,1559153,0,0,0,2700000,2138682,1690707,0,0,0,770000,,{0FD54980-150F-460D-96E7-1D5C162D271F},clallam,2017,47992,0,0,31459,15631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49787,0,0,32020,15631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031833,0,0,403257,569316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071112,0,0,403257,569316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705249,0,0,57184,91260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164456,0,24761,0,0,0,0,0,0,0,0,0,0,0,9836,0,26596,0,0,0,0,0,0,0,0,0,0,0,341,18606,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.1,0.0,0.0,32.7,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5378797,0,0,2166785,1042077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751530,0,0,35230,254480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,5,{DAB7706A-37D4-4AD4-BDF6-924CD955A88D},columbia,2017,0,0,388648,0,0,0,113984,0,31358,0,0,0,0,0,0,156206,0,0,0,0,0,0,0,0,0,17875,0,0,293516,0,0,0,6940,37859,150884,0,275000,0,,18,{DAB7706A-37D4-4AD4-BDF6-924CD955A88D},columbia,2017,0,0,85400,0,0,271912,0,49642,286625,202117,0,0,0,0,,{DAB7706A-37D4-4AD4-BDF6-924CD955A88D},columbia,2017,0,0,0,9723,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9867,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221670,74073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223943,75317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48748,10621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10088,4490,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,13.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1348078,28345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79266,49473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,6,{FDAB7DFB-C07D-4432-A5B4-A5AB5B997B42},community,2017,1411553,628811,0,0,320683,"Other USDOT Grants, GCB-2036  CMAQ Pass Thru WSDOT 180,633 and GCB-2520  CMAQ Pass Thru WSDOT 140,050",0,0,689286,0,0,125903,"WSDOT Commute Trip Reduction $125,903",12587349,5054167,0,0,0,0,5531154,"MAP-21/FAST State of Good Repair (5337)  $3,293431Chr(13)(10)MAP-21/FAST Bus & Bus Facilities Formula (5339)  $2,237,723",0,0,4416730,0,0,0,0,131303285,0,0,720837,1342087,291677,2042498,"Snohomish Co TDM $146,030; sales tax, Swift operating $1,597,008; King County TDM $15,372; Everett Transit-ORCA call center $50,000; Everett Transit Intergovernmental Services $75,822; Ridestore Retail Sales $698; ORCA Fee Revenue $60,276; Bike Locker Rentals $4,040; Warranty $61,224; P-Card rebates $11,358; Rebate-other $835; Snohomish Co Map Sponsorship $6,500; Flexible Spending forfeit $5,540; Scrap and recycling $3.093; TVM damage-Loomis $3,733; Public information requests $428; Employee lost badges and keys $110; WSTIP award $200; unknown, miscellaneous $231",0,59743356,,23,{FDAB7DFB-C07D-4432-A5B4-A5AB5B997B42},community,2017,102180,0,33608758,20793554,642142,65844930,0,0,0,103485132,0,884408,5033641,0,,{FDAB7DFB-C07D-4432-A5B4-A5AB5B997B42},community,2017,410763,0,0,0,140624,44419,0,0,0,0,0,0,0,0,81264,46789,0,0,0,0,443538,0,0,0,140624,81253,0,0,0,0,0,0,0,0,87560,88214,0,0,0,0,5817556,0,0,0,4557911,835800,0,0,0,0,0,0,0,0,1514562,968627,0,0,0,0,6808581,0,0,0,4557911,1809245,0,0,0,0,0,0,0,0,1700145,2063065,0,0,0,0,6413837,0,0,0,861372,1168082,0,0,0,0,0,0,0,0,194471,1721767,0,0,0,0,1431714,0,0,0,375654,0,0,0,0,0,0,506577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253217,0,0,0.0,0,229891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517.7,0.0,0.0,0.0,20.7,95.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.1,80.6,0.0,0.0,0.0,0.0,71792365,0,0,0,4386700,13435685,0,0,0,0,0,0,0,0,8196965,9672950,0,0,0,0,8135402,0,0,0,2772180,4340068,0,0,0,0,0,0,0,0,385633,6211376,0,0,0,0,
7,7,{3329900F-09CA-4A15-A215-385568C74D89},Cowlitz Indian Tribe,2017,0,0,88683,0,118387,BIA Tribal Transportation Program funds,218967,0,0,0,0,0,0,0,0,0,0,0,0,53619,BIA Tribal Transportation Program funds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,{3329900F-09CA-4A15-A215-385568C74D89},Cowlitz Indian Tribe,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,{3329900F-09CA-4A15-A215-385568C74D89},Cowlitz Indian Tribe,2017,0,0,0,3493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6124,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,426037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,8,{2B4E5FF3-8148-4C54-A043-CF6A2523D523},ctran,2017,0,5685946,0,0,305470,"Fourth Plain Rapid Transit (5309) $50,946; Mobility Mngt (5310) $183,417; New Freedom (5317) $71,107",0,248405,803958,0,0,0,0,1597229,2141615,0,0,0,0,497614,"State of Good Repair (5337) $167,449; Bus & Bus Facility Formula (5339) $330,165",0,0,479315,0,0,0,0,51481508,0,0,426250,565885,-39775,53482,"Rent Income $800; Misc Income $52,682",0,10629214,,31,{2B4E5FF3-8148-4C54-A043-CF6A2523D523},ctran,2017,0,0,5558331,8877163,0,0,0,0,15246000,55297259,0,0,1033307,0,,{2B4E5FF3-8148-4C54-A043-CF6A2523D523},ctran,2017,236818,0,0,87175,9259,33614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248821,0,0,95126,9259,49708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3116105,0,0,1436474,313630,778758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3385007,0,0,1594330,313630,1277816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4976515,0,0,245919,54894,750355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754684,0,178753,0,150766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8418,0,9028,17451,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.9,0.0,0.0,110.0,1.9,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32281897,0,0,12096417,479905,6449120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2912059,0,0,432468,187394,3325175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,9,{1607BC4A-C4B7-474F-B6A3-E9FC325B3187},CUBS,2017,0,0,0,0,299858,GCB2090 FTA 5310 Project A $148746 Mobility Management Project B $83062; FTA 5317 $30761,0,0,135678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3737541,0,0,22687,22709,0,10691,"Office rent, paratransit van lease, insurance recoveries",289882,0,,36,{1607BC4A-C4B7-474F-B6A3-E9FC325B3187},CUBS,2017,0,0,330285,0,0,0,1845714,0,0,0,0,0,0,0,,{1607BC4A-C4B7-474F-B6A3-E9FC325B3187},CUBS,2017,26372,0,0,0,10,0,0,0,0,0,0,0,0,0,22600,0,0,0,0,0,27370,0,0,0,10,0,0,0,0,0,0,0,0,0,24790,0,0,0,0,0,344310,0,0,0,226,0,0,0,0,0,0,0,0,0,184707,0,0,0,0,0,355067,0,0,0,226,0,0,0,0,0,0,0,0,0,208505,0,0,0,0,0,377835,0,0,0,18,0,0,0,0,0,0,0,0,0,49546,0,0,0,0,0,77957,0,0,0,0,0,0,0,0,0,4119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0.0,0,33016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.57,0.0,0.0,0.0,0.0,0.0,3033187,0,0,0,10913,0,0,0,0,0,0,0,0,0,1592693,0,0,0,0,0,153470,0,0,0,288,0,0,0,0,0,0,0,0,0,35145,0,0,0,0,0,
10,10,{6F538937-2629-4CB5-9551-6622B1112971},everett,2017,0,1015442,0,0,165234,CMAQ Grants,0,0,550305,0,115526,100469,Commute trip reduction and county coordination grant.,0,0,0,0,0,0,0,0,0,0,0,0,0,29137,North Broadway Improvement Project,19552780,0,0,102466,127727,1728,1057155,"Concessions	9242.4Chr(13)(10)ORCA CARD FEES	46021Chr(13)(10)rents	976,381 Chr(13)(10)Private contribution	25500Chr(13)(10)Commissions	10",2611308,0,,41,{6F538937-2629-4CB5-9551-6622B1112971},everett,2017,0,0,666943,2940118,1752920,0,6227658,0,0,0,0,0,0,0,,{6F538937-2629-4CB5-9551-6622B1112971},everett,2017,105656,0,0,48920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114454,0,0,52823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265710,0,0,561171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1455202,0,0,623553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902840,0,0,122427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316401,0,17062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103446,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15167684,0,0,6670682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206043,0,0,103668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Schumer, Nathan, Revised from 89799 to 103446 per Brandon Hillby, 8/16/18"
